borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
1,11 SPECIAL CONDO BILLING LOTS,14659,375000,2025-02-10,Other
1,11 SPECIAL CONDO BILLING LOTS,2446,3890000,2025-01-23,Other
1,11 SPECIAL CONDO BILLING LOTS,4321,8500000,2025-01-31,Other
3,11 SPECIAL CONDO BILLING LOTS,129410,112800000,2024-11-14,Other
3,11 SPECIAL CONDO BILLING LOTS,89603,72600000,2025-07-24,Other
2,02 TWO FAMILY DWELLINGS,2507,729000,2025-01-17,TwoFamily
2,03 THREE FAMILY DWELLINGS,2280,707000,2025-01-17,ThreeFamily
2,03 THREE FAMILY DWELLINGS,2280,707000,2025-01-17,ThreeFamily
2,03 THREE FAMILY DWELLINGS,2280,707000,2025-01-17,ThreeFamily
3,02 TWO FAMILY DWELLINGS,3013,1635000,2025-07-07,TwoFamily
3,01 ONE FAMILY DWELLINGS,2304,4800000,2025-04-09,OneFamily
3,14 RENTALS - 4-10 UNIT,4092,3700000,2024-11-04,Other
3,01 ONE FAMILY DWELLINGS,1320,500000,2025-10-24,OneFamily
3,01 ONE FAMILY DWELLINGS,1800,600000,2025-10-06,OneFamily
3,02 TWO FAMILY DWELLINGS,3000,1135273,2025-01-28,TwoFamily
3,01 ONE FAMILY DWELLINGS,960,825000,2025-02-13,OneFamily
3,01 ONE FAMILY DWELLINGS,1000,1825000,2025-08-22,OneFamily
4,01 ONE FAMILY DWELLINGS,960,645000,2025-02-03,OneFamily
1,08 RENTALS - ELEVATOR APARTMENTS,42108,6300000,2025-08-14,ElevatorApt
1,08 RENTALS - ELEVATOR APARTMENTS,47988,5850000,2025-08-01,ElevatorApt
2,08 RENTALS - ELEVATOR APARTMENTS,44916,3870490,2025-05-16,ElevatorApt
2,08 RENTALS - ELEVATOR APARTMENTS,50400,4243200,2025-05-16,ElevatorApt
2,22 STORE BUILDINGS,10000,4500000,2025-02-10,Commercial
2,07 RENTALS - WALKUP APARTMENTS,48800,3600000,2025-04-10,WalkupApt
2,01 ONE FAMILY DWELLINGS,2834,426459,2024-11-15,OneFamily
2,07 RENTALS - WALKUP APARTMENTS,36300,1325000,2025-08-11,WalkupApt
2,29 COMMERCIAL GARAGES,10000,6000000,2025-06-25,Commercial
2,07 RENTALS - WALKUP APARTMENTS,40075,32333419,2025-06-30,WalkupApt
2,22 STORE BUILDINGS,8327,3875000,2025-09-30,Commercial
2,27 FACTORIES,16205,4500000,2025-03-19,Commercial
2,07 RENTALS - WALKUP APARTMENTS,36500,4050000,2025-03-19,WalkupApt
2,22 STORE BUILDINGS,15600,1850000,2025-10-15,Commercial
2,22 STORE BUILDINGS,10000,8000000,2025-09-11,Commercial
3,22 STORE BUILDINGS,20000,6714284,2025-07-31,Commercial
3,29 COMMERCIAL GARAGES,4910,4500000,2025-01-07,Commercial
3,22 STORE BUILDINGS,10000,6235000,2025-10-22,Commercial
3,33 EDUCATIONAL FACILITIES,25000,2100000,2025-06-26,Commercial
3,27 FACTORIES,8300,1395000,2025-10-24,Commercial
3,35 INDOOR PUBLIC AND CULTURAL FACILITIES,6378,3200000,2025-02-21,Commercial
3,07 RENTALS - WALKUP APARTMENTS,32800,2300000,2025-08-14,WalkupApt
3,22 STORE BUILDINGS,8600,5250000,2025-07-09,Commercial
3,01 ONE FAMILY DWELLINGS,2976,950000,2024-12-17,OneFamily
3,07 RENTALS - WALKUP APARTMENTS,6516,7360000,2025-05-30,WalkupApt
3,03 THREE FAMILY DWELLINGS,3060,850000,2025-07-30,ThreeFamily
3,22 STORE BUILDINGS,6200,2000000,2025-08-28,Commercial
4,01 ONE FAMILY DWELLINGS,1600,2100000,2024-12-09,OneFamily
4,07 RENTALS - WALKUP APARTMENTS,3840,2150000,2025-01-17,WalkupApt
4,30 WAREHOUSES,5950,4118000,2025-09-17,Commercial
4,01 ONE FAMILY DWELLINGS,1678,1400000,2025-01-20,OneFamily
4,01 ONE FAMILY DWELLINGS,2039,1215000,2024-11-25,OneFamily
4,01 ONE FAMILY DWELLINGS,1460,1400000,2025-07-29,OneFamily
4,29 COMMERCIAL GARAGES,3000,4950000,2025-04-15,Commercial
4,01 ONE FAMILY DWELLINGS,2203,999000,2025-09-29,OneFamily
4,01 ONE FAMILY DWELLINGS,4725,2900000,2025-02-06,OneFamily
4,21 OFFICE BUILDINGS,27324,11360260,2025-03-04,Commercial
4,22 STORE BUILDINGS,10000,6800000,2024-11-04,Commercial
4,22 STORE BUILDINGS,450,6800000,2024-11-04,Commercial
4,22 STORE BUILDINGS,1900,3700000,2025-08-25,Commercial
4,29 COMMERCIAL GARAGES,10000,3950000,2025-03-13,Commercial
4,29 COMMERCIAL GARAGES,7000,4232500,2025-05-15,Commercial
4,30 WAREHOUSES,4000,3915000,2024-12-11,Commercial
4,33 EDUCATIONAL FACILITIES,20000,12000000,2025-05-21,Commercial
4,22 STORE BUILDINGS,9600,5205000,2025-02-13,Commercial
4,07 RENTALS - WALKUP APARTMENTS,5040,156000,2025-03-19,WalkupApt
4,07 RENTALS - WALKUP APARTMENTS,35000,9500000,2025-06-26,WalkupApt
4,27 FACTORIES,2906,2600000,2024-12-12,Commercial
5,01 ONE FAMILY DWELLINGS,3904,1350000,2025-03-12,OneFamily
5,02 TWO FAMILY DWELLINGS,2375,800000,2025-08-27,TwoFamily
5,22 STORE BUILDINGS,1974,1775000,2025-08-05,Commercial
5,01 ONE FAMILY DWELLINGS,5880,1944000,2025-01-31,OneFamily
5,01 ONE FAMILY DWELLINGS,1650,1150000,2025-03-20,OneFamily
5,01 ONE FAMILY DWELLINGS,4953,2099999,2024-12-11,OneFamily
5,07 RENTALS - WALKUP APARTMENTS,5440,2175000,2025-05-20,WalkupApt
5,01 ONE FAMILY DWELLINGS,2696,1700000,2024-11-22,OneFamily
5,02 TWO FAMILY DWELLINGS,3504,1180000,2025-08-05,TwoFamily
5,07 RENTALS - WALKUP APARTMENTS,5516,1250000,2024-12-31,WalkupApt
5,02 TWO FAMILY DWELLINGS,2976,1150000,2025-03-21,TwoFamily
5,01 ONE FAMILY DWELLINGS,3600,1400000,2025-04-03,OneFamily
5,01 ONE FAMILY DWELLINGS,2352,975000,2025-07-11,OneFamily
5,01 ONE FAMILY DWELLINGS,4752,1350000,2025-10-24,OneFamily
5,02 TWO FAMILY DWELLINGS,2832,1220000,2025-03-21,TwoFamily
5,02 TWO FAMILY DWELLINGS,2832,1270000,2024-12-16,TwoFamily
5,02 TWO FAMILY DWELLINGS,6108,1875000,2024-11-08,TwoFamily
5,01 ONE FAMILY DWELLINGS,1672,1195000,2025-02-19,OneFamily
5,01 ONE FAMILY DWELLINGS,1950,820000,2024-12-05,OneFamily
5,01 ONE FAMILY DWELLINGS,3144,2200000,2025-04-23,OneFamily
5,01 ONE FAMILY DWELLINGS,1428,650000,2024-11-13,OneFamily
5,01 ONE FAMILY DWELLINGS,2452,1125000,2025-04-01,OneFamily
5,01 ONE FAMILY DWELLINGS,1300,1200000,2025-07-29,OneFamily
5,02 TWO FAMILY DWELLINGS,4192,1399000,2025-07-03,TwoFamily
5,02 TWO FAMILY DWELLINGS,3000,980000,2025-09-18,TwoFamily
